Manual categories,Location,Animals,Count
Hunting (includes conservation and safari),Africa,Deer and Tiger,977
Captive engagement ,,,91
Wild Engagment,,Elephants,82
,Europe,Bear,82
,,,78
Educational,,Birds,65
,,Big Cats ,57
Hunting,US South,Turkey,45
Hunting,North America,Deer,43
,Africa,Lions,43
,US West,Elk,42
Wild Engagment,North America,Grizzly,37
Wild Engagment/Conservation,North America,,37
,,,37
Captive engagement ,North America,African Unglets,32
Educational,,Reindeer,32
Educational,Africa,Cheetah,30
Educational,Asia,Snow Leopards,30
Educational,,,29
,,Bear,29
Captive engagement ,Global,Primate,28
Conflict,,Squirrel/Domestic animals,28
,Africa,Lion,27
Wild Engagment,Africa,Primate,25
Wild Engagment,Africa,,25
,,Deer,24
Hunting,US Midwest,Hog and Bear,24
,,Deer,23
,,Wild Dog,23
Wild Engagement,Europe,,22
,,,22
Wild Engagement,Africa,,21
,,Photography,21
,,"Rabbit, Bobcat",21
,,Fox,20
,,Moose,20
Captive engagement ,,Elephant,20
,,Bird of prey,19
Wild Engagement,Oceana,Bees and Wombat,18
Captive engagement ,US South,,17
Wild Engagement,,Owl,17
Wild Engagement,US West,,16
,Hawaii,Ungulets,16
Hunting,US South,Deer,16
Wild Engagement,,Tiger,16
Hunting,Canada,Moose,14
Wild Engagement,Tropical South,Flora,14
,,Wolves,14
Wild Engagement,Africa ,Rhino and Lions,14
,,Coyote,14
,Africa,,13
,,,13
,,,12
Wild Engagement,South Asia,Tiger,12
,Oceana,Deer,10
